n,p_e,alpha,mc_greedy,k,random,degree,greedy,random_weights
100,0.1,0.1,1000,5,9.771,13.505,11.885,1
100,0.1,0.2,1000,5,27.369,35.272,35.595,1
100,0.1,0.3,1000,5,56.776,61.439,61.073,1
100,0.1,0.4,1000,5,81.731,83.052,84.358,1
100,0.1,0.5,1000,5,91.573,90.678,92.284,1
100,0.2,0.1,1000,5,23.699,33.311,32.812,1
100,0.2,0.2,1000,5,79.905,80.064,80.915,1
100,0.2,0.3,1000,5,95.325,95.127,95.609,1
100,0.2,0.4,1000,5,98.389,98.132,98.646,1
100,0.2,0.5,1000,5,99.346,99.226,99.494,1
100,0.1,0,1000,5,28.324,35.646,33.557,0
100,0.1,0,1000,5,25.781,36.542,34.225,0
100,0.1,0,1000,5,25.81,36.858,34.583,0
100,0.1,0,1000,5,25.636,37.08,34.42,0
100,0.1,0,1000,5,27.541,37.99,34.744,0
100,0.1,0,1000,5,28.421,35.92,32.36,0
100,0.1,0,1000,5,23.817,35.647,33.386,0
100,0.1,0,1000,5,27.043,36.614,34.111,0
100,0.1,0,1000,5,27.046,36.733,34.788,0
100,0.1,0,1000,5,29.864,35.182,32.167,0
100,0.2,0,1000,5,24.088,33.54,31.88,0
100,0.2,0,1000,5,26.709,34.122,30.973,0
100,0.2,0,1000,5,25.351,33.42,30.479,0
100,0.2,0,1000,5,27.32,33.678,30.795,0
100,0.2,0,1000,5,24.931,32.982,29.144,0
100,0.2,0,1000,5,26.621,33.82,29.52,0
100,0.2,0,1000,5,25.961,34.032,30.037,0
100,0.2,0,1000,5,27.677,33.937,30.829,0
100,0.2,0,1000,5,23.152,33.868,30.369,0
100,0.2,0,1000,5,25.185,33.302,30.985,0
