n,p_e,alpha,mc_greedy,k,random,degree,greedy,random_weights
100,0.1,0.2,1000,5,6.077,8.472,7.107,0
100,0.1,0.4,1000,5,7.688,12.203,10.885,0
100,0.1,0.6,1000,5,11.857,19.063,16.557,0
100,0.1,0.8,1000,5,16.851,30.527,27.587,0
100,0.1,1.0,1000,5,52.624,68.927,65.13,0
100,0.2,0.2,1000,5,6.218,7.862,6.565,0
100,0.2,0.4,1000,5,6.744,10.653,8.907,0
100,0.2,0.6,1000,5,10.989,15.947,13.749,0
100,0.2,0.8,1000,5,21.087,26.984,23.892,0
100,0.2,1.0,1000,5,54.621,63.881,57.948,0
100,0.1,0.2,1000,5,4.332,10.095,9.846,1
100,0.1,0.4,1000,5,6.277,10.594,15.878,1
100,0.1,0.6,1000,5,7.318,15.303,24.697,1
100,0.1,0.8,1000,5,14.218,45.081,49.36,1
100,0.1,1.0,1000,5,9.071,69.961,90.078,1
100,0.2,0.2,1000,5,5.052,7.349,10.615,1
100,0.2,0.4,1000,5,12.217,13.983,18.531,1
100,0.2,0.6,1000,5,6.241,12.206,40.958,1
100,0.2,0.8,1000,5,48.121,11.902,36.996,1
100,0.2,1.0,1000,5,5.577,68.904,94.795,1
100,0.1,0.2,1000,5,5.35,7.816,10.591,1
100,0.1,0.2,1000,5,7.745,5.573,10.775,1
100,0.1,0.4,1000,5,6.776,10.229,17.251,1
100,0.1,0.6,1000,5,9.712,11.426,30.194,1
100,0.1,0.8,1000,5,10.999,10.798,55.551,1
100,0.1,1.0,1000,5,69.001,83.396,95.969,1
100,0.2,0.2,1000,5,5.199,7.695,13.78,1
100,0.2,0.4,1000,5,8.942,11.417,27.438,1
100,0.2,0.6,1000,5,5.046,7.232,39.232,1
100,0.2,0.8,1000,5,5.093,10.99,64.264,1
100,0.2,1.0,1000,5,36.151,20.838,98.969,1
100,0.1,0.2,1000,5,5.762,6.756,10.457,1
100,0.1,0.4,1000,5,7.89,10.123,19.911,1
100,0.1,0.6,1000,5,12.266,12.768,30.525,1
100,0.1,0.8,1000,5,13.661,17.232,52.32,1
100,0.1,1.0,1000,5,52.78,58.525,95.259,1
100,0.2,0.2,1000,5,5.045,7.492,14.396,1
100,0.2,0.4,1000,5,9.246,12.291,27.144,1
100,0.2,0.6,1000,5,5.168,21.775,42.344,1
100,0.2,0.8,1000,5,10.249,5.645,64.986,1
100,0.2,1.0,1000,5,40.615,77.717,98.337,1
100,0.1,0.2,1000,5,6.212,7.382,11.067,1
100,0.1,0.4,1000,5,7.341,10.247,19.024,1
100,0.1,0.6,1000,5,7.08,13.999,30.931,1
100,0.1,0.8,1000,5,8.597,29.168,47.277,1
100,0.1,1.0,1000,5,29.597,60.732,96.251,1
100,0.2,0.2,1000,5,5.267,10.049,14.295,1
100,0.2,0.4,1000,5,5.276,9.577,28.222,1
100,0.2,0.6,1000,5,5.386,24.489,43.785,1
100,0.2,0.8,1000,5,4.278,12.182,68.122,1
100,0.2,1.0,1000,5,73.097,23.884,99.248,1
