n,p_e,alpha,mc_greedy,k,random,degree,greedy,average weight,total weight
100,0.1,0.2,1000,5,5.033,6.619,11.124,10.3,11.011
100,0.1,0.4,1000,5,7.023,11.66,16.545,14.403,16.86
100,0.1,0.6,1000,5,10.433,12.699,28.795,26.658,26.421
100,0.1,0.8,1000,5,10.218,29.232,54.488,38.108,50.317
100,0.1,1.0,1000,5,58.731,56.581,95.553,87.111,91.954
100,0.1,0.2,1000,5,5.655,8.538,10.092,8.83,9.958
100,0.1,0.4,1000,5,9.713,11.84,18.852,16.136,18.718
100,0.1,0.6,1000,5,10.006,18.493,29.426,25.203,27.117
100,0.1,0.8,1000,5,40.11,47.869,57.199,42.24,53.177
100,0.1,1.0,1000,5,43.903,38.513,96.029,84.944,87.467
100,0.1,0.2,1000,5,5.529,6.854,10.517,9.373,10.557
100,0.1,0.4,1000,5,5.866,12.884,16.442,16.35,16.075
100,0.1,0.6,1000,5,8.012,12.457,29.186,25.1,29.478
100,0.1,0.8,1000,5,27.31,21.457,55.526,54.997,55.576
100,0.1,1.0,1000,5,16.103,49.97,94.101,81.589,87.888
100,0.1,0.2,1000,5,7.423,5.616,10.457,9.903,10.442
100,0.1,0.4,1000,5,6.282,13.378,20.496,19.781,19.802
100,0.1,0.6,1000,5,9.749,15.479,31.756,25.972,31.659
100,0.1,0.8,1000,5,20.516,39.594,53.439,43.767,47.15
100,0.1,1.0,1000,5,30.938,86.079,93.871,86.295,89.138
100,0.1,0.2,1000,5,7.113,7.735,9.955,9.551,9.797
100,0.1,0.4,1000,5,6.956,11.518,17.724,16.864,17.558
100,0.1,0.6,1000,5,9.175,8.626,31.131,26.256,28.955
100,0.1,0.8,1000,5,25.101,14.035,57.231,50.017,51.758
100,0.1,1.0,1000,5,56.848,84.073,94.058,72.224,91.397
