n,p,alpha,w_type,min,max,average
100,0.2,0.1,degree,0.003125,0.011111111111111112,0.005037783375314861
100,0.2,0.1,random,2.7168625283399045e-19,0.09978153264788331,0.005037719459682766
100,0.2,0.2,degree,0.006666666666666667,0.018181818181818184,0.01023541453428864
100,0.2,0.2,random,1.689393714578761e-17,0.19856286547782875,0.010235240030343791
100,0.2,0.3,degree,0.010714285714285714,0.02727272727272727,0.01488833746898263
100,0.2,0.3,random,2.9559830948447044e-16,0.2985679106574927,0.014888271317088477
100,0.2,0.4,degree,0.013793103448275864,0.08,0.020376974019358125
100,0.2,0.4,random,3.3899279735455476e-16,0.3966391872505487,0.020373581895008624
100,0.2,0.5,degree,0.015625,0.05,0.02581311306143521
100,0.2,0.5,random,2.3258251157378052e-17,0.4890634190693735,0.02581276681247396
100,0.2,0.6,degree,0.01935483870967742,0.06,0.029880478087649404
100,0.2,0.6,random,2.988126570619297e-16,0.5953696707006874,0.029869443823822645
100,0.2,0.7,degree,0.02258064516129032,0.06999999999999999,0.035496957403651115
100,0.2,0.7,random,4.674280188057459e-15,0.673371510833039,0.03549676080228176
100,0.2,0.8,degree,0.02666666666666667,0.07272727272727274,0.04092071611253197
100,0.2,0.8,random,2.2626875071214355e-16,0.7927690378038411,0.040920291735695044
100,0.2,0.9,degree,0.028125,0.08181818181818182,0.04685059864653826
100,0.2,0.9,random,1.2502358675435425e-17,0.8979872726631924,0.04685023790976828
100,0.2,1.0,degree,0.034482758620689655,0.09090909090909091,0.05128205128205128
100,0.2,1.0,random,1.2355158616793858e-15,0.9825006961541828,0.051281612891907316
100,0.2,0.1,degree,0.003448275862068966,0.01,0.005138746145940391
100,0.2,0.1,random,2.0292587971321029e-16,0.09989736840093585,0.005138706300369256
100,0.2,0.2,degree,0.006060606060606061,0.018181818181818184,0.009886307464162136
100,0.2,0.2,random,1.0796224320965405e-17,0.19478317006461987,0.009886277793912084
100,0.2,0.3,degree,0.00909090909090909,0.02727272727272727,0.01529051987767584
100,0.2,0.3,random,1.1738375570003463e-20,0.2986800976687062,0.015290347864435477
100,0.2,0.4,degree,0.013793103448275864,0.03333333333333333,0.020703933747412008
100,0.2,0.4,random,7.670421150782526e-18,0.3952429618703026,0.020702738324909414
100,0.2,0.5,degree,0.016666666666666666,0.045454545454545456,0.025367833587011668
100,0.2,0.5,random,3.919096266862835e-16,0.49152108373613473,0.025367672889747325
100,0.2,0.6,degree,0.01935483870967742,0.075,0.03129890453834115
100,0.2,0.6,random,4.153962394204397e-16,0.5832856954024656,0.031295734156108784
100,0.2,0.7,degree,0.02413793103448276,0.05833333333333333,0.036231884057971016
100,0.2,0.7,random,1.4826714356580736e-14,0.6969369869781533,0.03623108761722307
100,0.2,0.8,degree,0.027586206896551727,0.07272727272727274,0.03960396039603961
100,0.2,0.8,random,5.071598826165961e-16,0.7959214264344522,0.03960070828626208
100,0.2,0.9,degree,0.02903225806451613,0.06923076923076923,0.043753038405444825
100,0.2,0.9,random,4.8600299783081695e-17,0.899859570160889,0.04375270774878349
100,0.2,1.0,degree,0.03571428571428571,0.09090909090909091,0.05157297576070139
100,0.2,1.0,random,1.1966018614095339e-16,0.9981687476228256,0.05157277007326235
100,0.2,0.1,degree,0.0035714285714285718,0.007692307692307693,0.005089058524173028
100,0.2,0.1,random,2.6124710420399657e-17,0.09996479946417325,0.0050890357174277
100,0.2,0.2,degree,0.00625,0.02,0.00998003992015968
100,0.2,0.2,random,6.0633003550239915e-18,0.1983693620931072,0.009979961244496686
100,0.2,0.3,degree,0.009375,0.02727272727272727,0.014705882352941176
100,0.2,0.3,random,6.321264179997774e-19,0.2989730956951485,0.01470574250803724
100,0.2,0.4,degree,0.013793103448275864,0.03636363636363637,0.01981178801386825
100,0.2,0.4,random,1.6852860704382404e-18,0.391005144778813,0.01981134208166846
100,0.2,0.5,degree,0.015625,0.0625,0.0249003984063745
100,0.2,0.5,random,5.218473886708839e-17,0.4971981833734155,0.02490022851366594
100,0.2,0.6,degree,0.020689655172413793,0.049999999999999996,0.03009027081243731
100,0.2,0.6,random,2.6711402034471575e-15,0.5969127225202518,0.03009011503629273
100,0.2,0.7,degree,0.020588235294117647,0.05833333333333333,0.03530005042864347
100,0.2,0.7,random,1.6373692779090825e-17,0.6971775259801615,0.035299894311969136
100,0.2,0.8,degree,0.025806451612903226,0.07272727272727274,0.040342914775592535
100,0.2,0.8,random,9.204255364308472e-17,0.789621137027123,0.04034112392603054
100,0.2,0.9,degree,0.03333333333333333,0.09,0.046680497925311204
100,0.2,0.9,random,2.5627041767946166e-16,0.8978949751792737,0.046680421118356456
100,0.2,1.0,degree,0.03333333333333333,0.1,0.0499001996007984
100,0.2,1.0,random,1.654787814413414e-19,0.957288677595589,0.04989227805412862
100,0.2,0.1,degree,0.0033333333333333335,0.008333333333333333,0.004892367906066537
100,0.2,0.1,random,1.446468929363315e-22,0.09939971590370467,0.00489236005336927
100,0.2,0.2,degree,0.00625,0.02,0.010111223458038422
100,0.2,0.2,random,4.827575044562322e-18,0.19459469975034988,0.010110825977731842
100,0.2,0.3,degree,0.010344827586206896,0.02727272727272727,0.014903129657228018
100,0.2,0.3,random,8.70580043195938e-17,0.29845176394937784,0.01490291518306737
100,0.2,0.4,degree,0.011764705882352941,0.03636363636363637,0.020100502512562814
100,0.2,0.4,random,3.2647879577317282e-18,0.38484378640920913,0.02009996494785814
100,0.2,0.5,degree,0.016129032258064516,0.05,0.02496255616575137
100,0.2,0.5,random,3.1054755288675715e-18,0.48310003195601137,0.02495999977506555
100,0.2,0.6,degree,0.02142857142857143,0.06,0.030832476875642344
100,0.2,0.6,random,2.0674503583538887e-15,0.5981389809724936,0.03083208219722451
100,0.2,0.7,degree,0.02413793103448276,0.07777777777777778,0.03684210526315789
100,0.2,0.7,random,6.356914842835904e-16,0.6983103522797223,0.03684089026244223
100,0.2,0.8,degree,0.02666666666666667,0.05714285714285715,0.039860488290981565
100,0.2,0.8,random,3.0674291221425203e-18,0.7983019068175538,0.039860449790268815
100,0.2,0.9,degree,0.03333333333333333,0.075,0.045941807044410414
100,0.2,0.9,random,1.1767411520239357e-15,0.8840632639576059,0.04594146071255759
100,0.2,1.0,degree,0.03125,0.1,0.04965243296921549
100,0.2,1.0,random,7.687627055909623e-16,0.9975568640580823,0.04965235899306374
100,0.2,0.1,degree,0.0033333333333333335,0.011111111111111112,0.005109862033725089
100,0.2,0.1,random,6.652440417613521e-18,0.09785969380961068,0.005109608651101732
100,0.2,0.2,degree,0.0058823529411764705,0.015384615384615385,0.010438413361169102
100,0.2,0.2,random,1.0607287100898092e-16,0.19711052909584983,0.010438384198721187
100,0.2,0.3,degree,0.01,0.03,0.015166835187057633
100,0.2,0.3,random,1.1662828799805573e-18,0.29910445523627927,0.015166736941158393
100,0.2,0.4,degree,0.014285714285714287,0.03636363636363637,0.020191822311963654
100,0.2,0.4,random,1.7616294324932413e-15,0.3902856273672696,0.020191710270633108
100,0.2,0.5,degree,0.016129032258064516,0.045454545454545456,0.025354969574036507
100,0.2,0.5,random,2.5535662711158164e-19,0.4986491420935683,0.02535486506190453
100,0.2,0.6,degree,0.022222222222222223,0.05454545454545454,0.03115264797507788
100,0.2,0.6,random,8.067135510352862e-17,0.598530636849136,0.031152433396400805
100,0.2,0.7,degree,0.02333333333333333,0.07777777777777778,0.035228988424760944
100,0.2,0.7,random,2.2830778504533986e-15,0.6839827923810881,0.035224557482892174
100,0.2,0.8,degree,0.025806451612903226,0.06666666666666667,0.03896736483195325
100,0.2,0.8,random,3.4916112408787976e-18,0.7949242794316965,0.03896713839095584
100,0.2,0.9,degree,0.02903225806451613,0.08181818181818182,0.045180722891566265
100,0.2,0.9,random,3.8968050622481326e-16,0.8845848246128513,0.045180016052648896
100,0.2,1.0,degree,0.03125,0.08333333333333333,0.051308363263211906
100,0.2,1.0,random,6.175854666648679e-17,0.9908620551567531,0.051307455801840325
100,0.2,0.1,degree,0.0030303030303030303,0.01,0.005058168942842691
100,0.2,0.1,random,9.654724505561709e-17,0.09980395625579143,0.005058149292710275
100,0.2,0.2,degree,0.006666666666666667,0.022222222222222223,0.010025062656641603
100,0.2,0.2,random,4.443993617740573e-17,0.19813605937464182,0.010025021761424887
100,0.2,0.3,degree,0.00967741935483871,0.02727272727272727,0.01488833746898263
100,0.2,0.3,random,1.1972242283159034e-16,0.29803964054736115,0.014888144048509308
100,0.2,0.4,degree,0.012903225806451613,0.03333333333333333,0.02
100,0.2,0.4,random,8.044123913439898e-18,0.3989175899859121,0.019999934086472205
100,0.2,0.5,degree,0.016129032258064516,0.05,0.025906735751295335
100,0.2,0.5,random,4.716826452766511e-19,0.49052263001518165,0.02590183528712016
100,0.2,0.6,degree,0.020689655172413793,0.05454545454545454,0.031023784901758014
100,0.2,0.6,random,9.028243283471691e-19,0.5981335258127667,0.031023237851985738
100,0.2,0.7,degree,0.02258064516129032,0.07777777777777778,0.03546099290780142
100,0.2,0.7,random,1.4262076733109356e-16,0.6970381893451351,0.03546075522041222
100,0.2,0.8,degree,0.025806451612903226,0.08,0.03954522985664855
100,0.2,0.8,random,3.646423547078605e-17,0.7969239998760949,0.039539244794094305
100,0.2,0.9,degree,0.03103448275862069,0.09,0.045477513895907026
100,0.2,0.9,random,6.656233415692954e-16,0.8946581296217382,0.04547722970509494
100,0.2,1.0,degree,0.03333333333333333,0.09090909090909091,0.049800796812749
100,0.2,1.0,random,3.660990991451057e-16,0.9897691868117525,0.049800587892238755
100,0.2,0.1,degree,0.0033333333333333335,0.01,0.00510204081632653
100,0.2,0.1,random,1.4955374101234728e-18,0.09903935161744123,0.005102001520269067
100,0.2,0.2,degree,0.007407407407407408,0.02,0.010219724067450179
100,0.2,0.2,random,6.496353111990259e-18,0.19796661262955864,0.010219676384320866
100,0.2,0.3,degree,0.008823529411764706,0.03,0.015368852459016393
100,0.2,0.3,random,3.9980516789152914e-16,0.29772087301535766,0.015368455686726732
100,0.2,0.4,degree,0.013793103448275864,0.03636363636363637,0.020481310803891453
100,0.2,0.4,random,6.648971438260339e-16,0.3994153173642458,0.02048117197610178
100,0.2,0.5,degree,0.016129032258064516,0.038461538461538464,0.02457002457002457
100,0.2,0.5,random,6.798260247005782e-17,0.497214886309309,0.02456996770162168
100,0.2,0.6,degree,0.020689655172413793,0.06,0.030581039755351678
100,0.2,0.6,random,1.4301426838853984e-19,0.5999157600392865,0.03058091873755071
100,0.2,0.7,degree,0.02258064516129032,0.06363636363636363,0.035246727089627394
100,0.2,0.7,random,1.4886370189455637e-16,0.69740540659626,0.035246581050301456
100,0.2,0.8,degree,0.025806451612903226,0.08,0.04081632653061224
100,0.2,0.8,random,8.202148216820248e-20,0.7955154872433909,0.04081567940212697
100,0.2,0.9,degree,0.030000000000000002,0.08181818181818182,0.0453857791225416
100,0.2,0.9,random,7.428109853148967e-16,0.8748576066733575,0.04538523567316332
100,0.2,1.0,degree,0.037037037037037035,0.09090909090909091,0.05002501250625312
100,0.2,1.0,random,1.635391488779846e-17,0.9738114632844321,0.05002487788546661
100,0.2,0.1,degree,0.0032258064516129032,0.008333333333333333,0.005042864346949067
100,0.2,0.1,random,8.542770838050917e-20,0.09577791854428414,0.005042819355519462
