n,p,alpha,w_type,min,max,average
100,0.2,0.1,degree,0.0,0.0125,0.001
100,0.2,0.1,random,0.0,0.09829660730614924,0.000999989195310666
100,0.2,0.2,degree,0.0,0.02,0.0020000000000000005
100,0.2,0.2,random,0.0,0.1983283468174091,0.001999942524945699
100,0.2,0.3,degree,0.0,0.03,0.0029999999999999996
100,0.2,0.3,random,0.0,0.2991125044817915,0.0029999561605902054
100,0.2,0.4,degree,0.0,0.03333333333333333,0.004
100,0.2,0.4,random,0.0,0.38467016034945123,0.003999976007957474
100,0.2,0.5,degree,0.0,0.05,0.004999999999999999
100,0.2,0.5,random,0.0,0.4929618543125834,0.004999969469163324
100,0.2,0.6,degree,0.0,0.049999999999999996,0.006
100,0.2,0.6,random,0.0,0.5947572395597521,0.005999933573408077
100,0.2,0.7,degree,0.0,0.05384615384615384,0.007
100,0.2,0.7,random,0.0,0.6949052510418172,0.006999968149006011
100,0.2,0.8,degree,0.0,0.07272727272727274,0.008
100,0.2,0.8,random,0.0,0.7951085923302692,0.007999967482011355
100,0.2,0.9,degree,0.0,0.075,0.009
100,0.2,0.9,random,0.0,0.8952501414789699,0.008999979928677068
100,0.2,1.0,degree,0.0,0.1,0.01
100,0.2,1.0,random,0.0,0.9828187926582242,0.009999745324108694
100,0.2,0.1,degree,0.0,0.01,0.0010000000000000002
100,0.2,0.1,random,0.0,0.09707670006592602,0.000999848541151474
100,0.2,0.2,degree,0.0,0.015384615384615385,0.002
100,0.2,0.2,random,0.0,0.19950685299509907,0.0019999948781332035
100,0.2,0.3,degree,0.0,0.0375,0.003
100,0.2,0.3,random,0.0,0.29983326099858565,0.002999824986732836
100,0.2,0.4,degree,0.0,0.05,0.004000000000000001
100,0.2,0.4,random,0.0,0.3964076462132742,0.003999487842501643
100,0.2,0.5,degree,0.0,0.05,0.005
100,0.2,0.5,random,0.0,0.4986229357912571,0.004999939140363889
100,0.2,0.6,degree,0.0,0.06666666666666667,0.006
100,0.2,0.6,random,0.0,0.5899752711806691,0.005999779707636027
100,0.2,0.7,degree,0.0,0.07777777777777778,0.006999999999999998
100,0.2,0.7,random,0.0,0.6989667342870738,0.006999853341970925
100,0.2,0.8,degree,0.0,0.08888888888888889,0.008
100,0.2,0.8,random,0.0,0.7960451948083952,0.007999671642683058
100,0.2,0.9,degree,0.0,0.1,0.009
100,0.2,0.9,random,0.0,0.8983831892245453,0.008999971919100869
100,0.2,1.0,degree,0.0,0.14285714285714285,0.01
100,0.2,1.0,random,0.0,0.9994891400583158,0.009999811434669126
100,0.2,0.1,degree,0.0,0.01,0.0010000000000000002
100,0.2,0.1,random,0.0,0.09812444814932525,0.0009999716373967158
100,0.2,0.2,degree,0.0,0.018181818181818184,0.0020000000000000005
100,0.2,0.2,random,0.0,0.19986910531972657,0.001999990292734253
100,0.2,0.3,degree,0.0,0.02727272727272727,0.0029999999999999996
100,0.2,0.3,random,0.0,0.29575122325948805,0.0029997630188299605
100,0.2,0.4,degree,0.0,0.03636363636363637,0.004
100,0.2,0.4,random,0.0,0.3995350479562144,0.003999913280443998
100,0.2,0.5,degree,0.0,0.05,0.004999999999999999
100,0.2,0.5,random,0.0,0.4979865026364209,0.004999753787357848
100,0.2,0.6,degree,0.0,0.06666666666666667,0.006
100,0.2,0.6,random,0.0,0.5970361310755432,0.005999922986348993
